Day,Image
1,https://raw.githubusercontent.com/kgangerlm/iceland-data/refs/heads/main/images/day1.jpg
2,https://github.com/kgangerlm/iceland-data/blob/main/images/day2.jpg?raw=true
3,https://github.com/kgangerlm/iceland-data/blob/main/images/day3.png?raw=true
4,https://raw.githubusercontent.com/kgangerlm/iceland-data/refs/heads/main/images/day4.webp
5,https://github.com/kgangerlm/iceland-data/blob/main/images/day5.jpg?raw=true
6,https://github.com/kgangerlm/iceland-data/blob/main/images/day6.jpg?raw=true
7,https://github.com/kgangerlm/iceland-data/blob/main/images/day7.jpg?raw=true
8,https://github.com/kgangerlm/iceland-data/blob/main/images/day8.jpg?raw=true
9,https://raw.githubusercontent.com/kgangerlm/iceland-data/refs/heads/main/images/day9.avif
10,https://github.com/kgangerlm/iceland-data/blob/main/images/day10.jpg?raw=true
11,https://raw.githubusercontent.com/kgangerlm/iceland-data/refs/heads/main/images/day11.avif
