Day,Title,Activity Type,Category,Address,Description,Icon,Coordinates
Day 1,4WD Suzuki Vitara Pickup,Car Rental,Booked,"Blue Car Rental, Keflavík, Iceland","<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #fff9c4; border: 1px solid #fff176; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">🚗 Car Rental</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">Pick up your 4WD Suzuki Vitara from Blue Car Rental, giving you the freedom to explore Iceland's diverse terrain, including some F-roads during your journey.</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/cabs.png,"63.9985,-22.6221"
Day 1,Árbær Open Air Museum,Cultural,Outdoor,Kistuhyl 4 110 Reykjavík,"<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #e8f5e9; border: 1px solid #81c784; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">🏛️ Cultural</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">Step back in time at this collection of more than 20 relocated historic buildings forming a town square museum. Costumed guides demonstrate traditional crafts and Icelandic daily life.</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/arts.png,"64.1027,-21.8187"
Day 1,Arrival at Keflavík Airport,Arrival,Transportation,"Keflavík International Airport, Iceland","<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #f3e5f5; border: 1px solid #ba68c8; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">✈️ Arrival</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">Arrive at Keflavík International Airport, the gateway to your Icelandic adventure. After landing, you'll pick up your rental car and begin your journey around the Ring Road.</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/airports.png,"63.9998,-22.6219"
Day 1,Blue Lagoon Geothermal Spa,Geothermal Spa,Highlighted,"Blue Lagoon, Grindavík, Iceland","<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #eceff1; border: 1px solid #b0bec5; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">💆 Geothermal Spa</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">Immerse yourself in the mineral-rich waters of Iceland's most famous geothermal spa. The surreal blue waters contrast beautifully with the surrounding black lava fields. Consider upgrading to include silica mud masks for the full experience. Pre-booking essential; plan for 2-3 hours.</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/swimming.png,"63.8804,-22.4495"
Day 1,Breakfast at LiBRARY bistro,Dining,Alternative,"LiBRARY bistro/bar, Keflavík, Iceland","<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #eceff1; border: 1px solid #b0bec5; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">🍽️ Dining</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">Enjoy your first meal in Iceland at LiBRARY bistro/bar, which opens at 8AM and offers a good selection of breakfast options.</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/dining.png,"63.9970,-22.5621"
Day 1,Dinner at Café Loki,Dining,Alternative,"Café Loki, Reykjavík, Iceland","<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #eceff1; border: 1px solid #b0bec5; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">🍽️ Dining</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">Enjoy dinner with Heather and family at this traditional Icelandic restaurant near Hallgrímskirkja, where you can try authentic local dishes.</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/dining.png,"64.1414,-21.9269"
Day 1,Grótta Lighthouse Sunset Walk,Hiking,Nature,Seltjarnarnes Peninsula Reykjavík,"<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #eceff1; border: 1px solid #b0bec5; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">🥾 Hiking</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">An <strong>easy</strong> 1-mile coastal loop around this picturesque lighthouse at the northwestern tip of Reykjavík. Perfect for Northern Lights viewing in winter or midnight sun in summer.</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/hiker.png,"64.1644,-22.0047"
Day 1,Hallgrímskirkja Church,Architecture,Alternative,"Hallgrímskirkja, Reykjavík, Iceland","<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #eceff1; border: 1px solid #b0bec5; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">🏛️ Architecture</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">Visit Reykjavík's iconic church with its distinctive architecture inspired by basalt columns. Ascend the tower for outstanding city views spanning the colorful rooftops to the surrounding mountains and sea.</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/landmark.png,"64.1417,-21.9266"
Day 1,Harpa Concert Hall,Cultural,Alternative,"Harpa Concert Hall, Reykjavík, Iceland","<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #eceff1; border: 1px solid #b0bec5; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">🏛️ Cultural</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">Explore this architectural marvel with a distinctive colored glass facade inspired by Iceland's basalt landscapes and northern lights.</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/arts.png,"64.1505,-21.9327"
Day 1,Hotel Fron Check-in,Lodging,Booked,"Hotel Fron, Laugavegur 22A, Reykjavík, Iceland","<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #fff9c4; border: 1px solid #fff176; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">🏨 Lodging</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">Check into Hotel Fron, centrally located on Laugavegur, Reykjavík's main shopping street. This comfortable hotel offers Double/Twin Rooms and is within walking distance of Reykjavík's main attractions, restaurants, and nightlife.</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/lodging.png,"64.1434,-21.9244"
