Day,Title,Label,Category,Address,Notes
Day-1,Hotel Fron,Accommodation,Reykjavik,Laugavegur 22a 101 Reykjavik Iceland,Confirmation: 73051105801878
Day-1,Blue Lagoon,Attraction,Highlighted,Blue Lagoon Grindavík Iceland,Famous geothermal spa; book in advance
Day-1,Reykjavik Exploration,Activity,Reykjavik,Downtown Reykjavik Iceland,Explore the capital; buy alcohol at duty-free for savings

Day-2,Hotel Country Dream Guesthouse,Accommodation,Selfoss,Ásvegur 39 800 Selfoss Iceland,Confirmation: 73051117986889
Day-2,Þingvellir National Park,Attraction,Highlighted,Þingvellir National Park Iceland,Continental divide and site of first parliament
Day-2,Geysir Geothermal Area,Attraction,Golden Circle,Geysir Geothermal Area Iceland,Strokkur erupts every 5-7 minutes
Day-2,Gullfoss Waterfall,Waterfall,Highlighted,Gullfoss Waterfall Iceland,Massive two-tiered cascade
Day-2,Reykjadalur Hot Spring Thermal River,Hiking,Highlighted,Reykjadalur Hot Spring Trail Iceland,3-mile moderate hike; 2 hours round trip; natural hot river

Day-3,The Barn,Accommodation,Norðurfoss,Norðurfoss 880 Iceland,Double Room with Shared Bathroom
Day-3,Seljalandsfoss Waterfall,Waterfall,Highlighted,Seljalandsfoss Iceland,$6 parking fee; can walk behind the waterfall
Day-3,Skógafoss Waterfall,Waterfall,Highlighted,Skógafoss Iceland,200-foot waterfall with stairs to the top
Day-3,Vikurfjara Black Sand Beach,Beach,Highlighted,Vikurfjara Black Sand Beach Vík Iceland,Dramatic basalt columns; caution with sneaker waves
Day-3,Dyrhólaey Peninsula,Wildlife,Alternative,Dyrhólaey Peninsula Iceland,Puffins visible July-August; dramatic coastal views

Day-4,Airbnb Höfn,Accommodation,Höfn,Höfn Iceland,Confirmation: HMXME38BS5
Day-4,Svartifoss Waterfall Hike,Hiking,Skaftafell,Svartifoss Skaftafell Iceland,3.5-mile moderate hike with basalt columns
Day-4,Strútsfoss Waterfall,Waterfall,Hidden Gem,Sturluflöt farm Iceland,Hidden gem larger than Hengifoss; accessible with regular car in summer
Day-4,Jokulsarlon Glacier Lagoon Zodiac Tour,Tour,Highlighted,Jökulsárlón Iceland,Pre-booked boat tour of glacier lagoon
Day-4,Diamond Beach,Beach,Highlighted,Diamond Beach Iceland,Ice chunks on black sand beach across from glacier lagoon

Day-5,Seyðisfjörður Guesthouse,Accommodation,Seyðisfjörður,Seyðisfjörður Iceland,Confirmation: 73053225221663
Day-5,East Fjords Coastal Drive,Scenic Drive,Highlighted,East Fjords Iceland,Dramatic fjords and fishing villages
Day-5,Vestrahorn and Stokksnes Beach,Attraction,Highlighted,Stokksnes Iceland,Mountain and black sand beach; $6.50 entrance fee
Day-5,The Waterfall Circle,Hiking,Hidden Gem,Laugarfell Guesthouse Iceland,Hidden gem; 5-mile loop featuring 10 waterfalls
