Day,Title,Activity Type,Category,Address,Description,Image,__parsed_extra
Day-1,Arrival at Keflavík Airport,Arrival,Transportation,"Keflavík International Airport, Iceland","Arrive at Keflavík International Airport, the gateway to your Icelandic adventure. After landing, you'll pick up your rental car and begin your journey around the Ring Road.",https://res.cloudinary.com/enchanting/q_80,"f_auto,c_lfill,w_1920,h_400,g_auto/exodus-web/2021/12/kirkjufellsfoss_iceland.jpg"
Day-1,Duty-Free Shopping,Shopping,Practical,"Keflavík International Airport, Iceland","Get duty-free liquor at airport (significantly cheaper than in town). Remember, this is your best opportunity to buy alcohol at reasonable prices in Iceland.",,
Day-1,4WD Suzuki Vitara Pickup,Car Rental,Booked,"Blue Car Rental, Keflavík, Iceland","Pick up your 4WD Suzuki Vitara from Blue Car Rental, giving you the freedom to explore Iceland's diverse terrain, including some F-roads during your journey.",,
Day-1,Breakfast at LiBRARY bistro,Dining,Alternative,"LiBRARY bistro/bar, Keflavík, Iceland","Enjoy your first meal in Iceland at LiBRARY bistro/bar, which opens at 8AM and offers a good selection of breakfast options.",,
Day-1,Blue Lagoon Geothermal Spa,Geothermal Spa,Highlighted,"Blue Lagoon, Grindavík, Iceland",Immerse yourself in the mineral-rich waters of Iceland's most famous geothermal spa. The surreal blue waters contrast beautifully with the surrounding black lava fields. Consider upgrading to include silica mud masks for the full experience. Pre-booking essential; plan for 2-3 hours.,,
Day-1,Grocery Shopping,Shopping,Practical,"Bonus or Kronan, Reykjavík, Iceland","Stock up on groceries at Bonus or Kronan supermarkets, which offer good prices on food and supplies for your journey.",,
Day-1,Hotel Fron Check-in,Lodging,Booked,"Hotel Fron, Laugavegur 22A, Reykjavík, Iceland","Check into Hotel Fron, centrally located on Laugavegur, Reykjavík's main shopping street. This comfortable hotel offers Double/Twin Rooms and is within walking distance of Reykjavík's main attractions, restaurants, and nightlife.",,
Day-1,Meet Heather and Family,Social,Highlighted,"Reykjavík, Iceland",Meet up with Heather and her family to begin your joint adventure through Iceland.,,
Day-1,Hallgrímskirkja Church,Architecture,Alternative,"Hallgrímskirkja, Reykjavík, Iceland",Visit Reykjavík's iconic church with its distinctive architecture inspired by basalt columns. Ascend the tower for outstanding city views spanning the colorful rooftops to the surrounding mountains and sea.,,
Day-1,Harpa Concert Hall,Cultural Experience,Alternative,"Harpa Concert Hall, Reykjavík, Iceland",Explore this architectural marvel with a distinctive colored glass facade inspired by Iceland's basalt landscapes and northern lights.,,
Day-1,Sun Voyager Sculpture,Photo Opportunity,Alternative,"Sun Voyager Sculpture, Reykjavík, Iceland","Sun Voyager sculpture (Sólfar), a striking stainless steel boat skeleton on Reykjavík's waterfront offering magnificent views of Mount Esja across the bay.",,
