Day,Title,Activity Type,Category,Address,Notes
Day-1,Arrival (Keflavík Airport),Transportation,Starting Point,Keflavík International Airport Iceland,Starting point
Day-1,Mount Esja Hiking Trail,Hike,Highlighted,Mount Esja Iceland,8km/5 miles round-trip hike with views of Reykjavík
Day-1,Blue Lagoon,Geothermal Spa,Alternative,Blue Lagoon Iceland,Famous geothermal spa ($93-190) - 2-3 hours
Day-1,Reykjavík Walking Tour,Tour,Alternative,Downtown Reykjavík Iceland,Explore Hallgrímskirkja church and Harpa Concert Hall - 2-3 hours
Day-1,Perlan Museum,Museum,Alternative,Perlan Reykjavík Iceland,Museum with observation deck - 1-2 hours
Day-1,Hotel Fron,Lodging,Accommodation,Laugavegur 22A Reykjavik 101 Iceland,Check-in time: 2pm
Day-2,Reykjadalur Hot Spring Thermal River Hike,Hike,Highlighted,Reykjadalur Hot Spring Thermal River Iceland,4.5 miles round-trip hike to natural hot river
Day-2,Þingvellir National Park,National Park,Alternative,Þingvellir National Park Iceland,UNESCO World Heritage site where tectonic plates meet
Day-2,Geysir Geothermal Area,Geothermal Site,Alternative,Geysir Iceland,Watch Strokkur geyser erupt every 5-7 minutes
Day-2,Gullfoss Waterfall,Waterfall,Alternative,Gullfoss Iceland,Powerful two-tiered waterfall with viewing platforms
Day-2,Country Dream Guesthouse,Lodging,Accommodation,Langholt 2 Selfoss 0801 Iceland,Check-in time: 3pm
Day-3,Vikurfjara Black Sand Beach,Beach,Highlighted,Vikurfjara Black Sand Beach Vík Iceland,Less touristy alternative to Reynisfjara beach
Day-3,Seljalandsfoss Waterfall,Waterfall,Alternative,Seljalandsfoss Iceland,Famous waterfall you can walk behind
Day-3,Skógafoss Waterfall,Waterfall,Alternative,Skógafoss Iceland,Powerful waterfall with optional hike up the side
Day-3,Dyrhólaey Peninsula,Nature,Alternative,Dyrhólaey Iceland,Massive stone arch and puffin viewing spot
Day-3,The Barn,Lodging,Accommodation,Norðurfoss 871 Iceland,Check-in time: 4pm
Day-4,Jökulsárlón Glacier Lagoon & Diamond Beach,Nature,Highlighted,Jökulsárlón Glacier Lagoon Iceland,Glacier lagoon with floating icebergs and black beach with ice chunks
Day-4,Skaftafell - Svartifoss Waterfall Hike,Hike,Alternative,Skaftafell Iceland,3.5-mile round trip hike to a waterfall with black basalt columns
Day-4,Fjallsárlón Glacier Lagoon,Nature,Alternative,Fjallsárlón Iceland,Less crowded alternative to Jökulsárlón
Day-4,Stokksnes Peninsula/Vestrahorn Mountain,Nature,Alternative,Stokksnes Iceland,Dramatic mountain views with black sand dunes
Day-4,Airbnb in Höfn,Lodging,Accommodation,Seljavöllum Höfn í Hornafirði 781 Iceland,Check-in time: 3pm
Day-5,East Fjords Coastal Drive,Scenic Drive,Highlighted,East Fjords Iceland,Scenic coastal drive with multiple stops
Day-5,Petra's Stone Collection,Museum,Part of Highlighted,Stöðvarfjörður Iceland,Impressive mineral museum
Day-5,Hengifoss Waterfall,Hike/Waterfall,Part of Highlighted,Hengifoss Iceland,Beautiful hiking trail to Iceland's third-highest waterfall
Day-5,Atlavík Cove,Nature,Alternative,Hallormsstaðaskógur Iceland,Iceland's largest forest with picnic areas and short trails
Day-5,Lagarfljót Lake,Nature,Alternative,Lagarfljót Iceland,Scenic lake known for its mythical monster
Day-5,Wilderness Center Museum,Museum,Alternative,Wilderness Center Fljótsdalur Iceland,Learn about life in the highlands
Day-5,Airbnb Maríanna,Lodging,Accommodation,Egilsstaðir East Iceland,Check-in time: 4pm
Day-6,Askja Caldera Hike,Hike,Highlighted,Mount Askja Iceland,7.5 miles round-trip hike around volcanic caldera
Day-6,Dettifoss Waterfall,Waterfall,Alternative,Dettifoss Iceland,Europe's most powerful waterfall
Day-6,Krafla Volcano and Víti Crater,Geothermal Site,Alternative,Krafla Iceland,Colorful geothermal area and volcano crater
Day-6,Námaskarð/Hverir Geothermal Area,Geothermal Site,Alternative,Námaskarð Iceland,Bubbling mud pots and fumaroles
Day-6,Sel Hotel Mývatn,Lodging,Accommodation,Skútustaðir 2C Mývatn 660 Iceland,Check-in time: 3pm
Day-7,Goðafoss Waterfall,Waterfall,Highlighted,Goðafoss Iceland,"Waterfall of the Gods" with historical significance
Day-7,Whale Watching in Húsavík,Tour,Alternative,Húsavík Iceland,World-class whale watching with high success rates
Day-7,Akureyri Botanical Gardens,Garden,Alternative,Akureyri Botanical Garden Iceland,One of the world's northernmost botanical gardens
Day-7,Mount Akrafjall Hike,Hike,Alternative,Mount Akrafjall Iceland,2-hour or 5-hour routes with panoramic views of Akureyri
Day-7,Airbnb Hildur,Lodging,Accommodation,Akureyri North Iceland,Check-in time: 3pm
Day-8,Neðri-Hveradalir Geothermal Area Hike,Hike,Highlighted,Neðri-Hveradalir Kerlingarfjöll Iceland,3 miles loop hike through geothermal landscape
Day-8,Tröllaskagi Peninsula Scenic Drive,Scenic Drive,Alternative,Tröllaskagi Peninsula Iceland,Mountain and fjord landscapes with small fishing villages
Day-8,Horseback Riding near Akureyri,Tour,Alternative,Akureyri Iceland,Experience Iceland on the back of an Icelandic horse
Day-8,Beer Spa at Bjórböðin,Spa,Alternative,Bjórböðin Árskógssandi Iceland,Unique experience bathing in young beer
Day-8,Akureyri Accommodation,Lodging,Accommodation,Akureyri North Iceland,Extending stay from previous day (TBD)
Day-9,Kirkjufell Mountain and Kirkjufellsfoss Waterfall,Nature,Highlighted,Kirkjufellsfoss Grundarfjörður Iceland,Iceland's most photographed mountain and waterfall
Day-9,Kolugljúfur Canyon and Waterfall,Nature,Alternative,Kolugljúfur Iceland,Impressive canyon with multiple waterfalls
Day-9,Seal Watching at Hvammstangi,Wildlife,Alternative,Hvammstangi Iceland,Visit the Icelandic Seal Center and nearby viewing points
Day-9,Grábrók Crater Hike,Hike,Alternative,Grábrók Iceland,Easy 1-mile hike to the rim of a volcanic crater
Day-9,Airbnb Guðmunda,Lodging,Accommodation,Ólafsvík West Iceland,Check-in time: 3pm
Day-10,Hellnar to Arnarstapi Coastal Path,Hike,Highlighted,Hellnar Iceland,2.5 miles one-way coastal trail with dramatic views
Day-10,Djúpalónssandur Black Beach,Beach,Alternative,Djúpalónssandur Iceland,Dramatic beach with shipwreck remains and strength testing stones
Day-10,Saxhóll Crater,Hike,Alternative,Saxhóll Iceland,Short but steep climb up a volcanic crater with panoramic views
Day-10,Vatnshellir Cave Tour,Tour,Alternative,Vatnshellir Iceland,Explore an 8,000-year-old lava tube cave
Day-10,Ólafsvík Accommodation,Lodging,Accommodation,Ólafsvík West Iceland,Extending stay from previous day or moving to Reykjavík (TBD)
Day-11,Shopping and Lunch in Reykjavík,City,Highlighted,Laugavegur Street Reykjavík Iceland,Final shopping and farewell lunch
Day-11,Krauma Geothermal Baths,Geothermal Spa,Alternative,Krauma Iceland,Relaxing natural hot springs
Day-11,Deildartunguhver Hot Spring,Geothermal Site,Alternative,Deildartunguhver Iceland,Europe's most powerful hot spring
Day-11,Viking World Museum,Museum,Alternative,Viking World Museum Keflavík Iceland,Near the airport if you have extra time before your flight
Day-11,Departure (Keflavík Airport),Transportation,Ending Point,Keflavík International Airport Iceland,Flight at 4:50 PM
