Day,Date,Title,Location,Cost,Room Description,Supplier Name,Confirmation,Supplier Phone,Supplier Website
1,Jul 14 2025,Hotel Fron,"Laugavegur 22A, Reykjavik, 101 Iceland",$252.74,Double/Twin Rooms,Hotel Fron,73051105801878,354 (5) 114666,
2,Jul 15 2025,Country Dream guesthouse,"Langholt 2, Selfoss, 0801 Iceland",$216.97,Basic Studio,Country Dream guesthouse,73051117986889,354 (354) 6592030,
3,Jul 16 2025,The Barn,"Norðurfoss, 871, Iceland",304.77,"Double Room, Shared Bathroom, Mountain View",The Barn,,779 1166,https://barnhostel.is/
4,Jul 17 2025,Airbnb in Jökulsárlón/Höfn,"Seljavöllum, Höfn í Hornafirði 781, Iceland",357.52,Double or twin,Airbnb in Jökulsárlón/Höfn,HMXME38BS5,,
5,Jul 18 2025,Alfheimar Hotel,"v/Merkisveg, Borgarfirdi Eystra, 720 Iceland",$358.13,"Standard Double or Twin Room, Patio",Alfheimar Hotel,73058051849662,+354 4712010,
6,Jul 19 2025,Ásgeirsstaðir Cottages,"Ásgeirsstaðir, Eidar, 701 Iceland",$246.00,"Standard Cabin, 1 Bedroom",Ásgeirsstaðir Cottages,73055400652002,+354 8686352,
7,Jul 20 2025,Airbnb - Hildur,"Akureyri, Iceland",$452.00,Entire home/apt,Airbnb - Hildur,HM8YWHA8PD,+354 893 7979,
8,Jul 21 2025,Airbnb - The Painter's house,"Siglufjörður, Iceland",,Home - Entire home/apt,Airbnb - The Painter's house with view and balcony,,,
9,Jul 22 2025,The Old Post Office,"Grundargata 50, Grundarfjörður, 350 Iceland",$500.22,"Double or Twin Room, Private Bathroom",The Old Post Office,73057461061626,+354 4308043,
10,Jul 23 2025,Airbnb - Patrycja,"Akranes, Iceland",$163.89,Room,Airbnb - Patrycja,HMRMJ8CNWQ,,
11,July 24,Flight FI 671 KEF->DEN,Departs 4:50 PM GMT,Included,,,3NEJSO,,
-,July 14-24,Suzuki Vitara (Automatic 4WD),Iceland,"$2,148.07",suzuki vitara automatic 4wd zero liability insurance,Blue Car Rental,RVF6FW,425 6000,http://bluecarrental.is
